x,y
3.6,10.24
3.6,10.16
3.6,10.08
3.6,10.0
3.6,9.92
3.6,9.84
3.52,9.76
3.52,9.68
3.52,9.6
3.52,9.52
3.52,9.44
3.52,9.36
3.44,9.28
3.44,9.200000000000001
3.44,9.120000000000001
3.44,9.040000000000001
3.44,8.96
3.44,8.88
3.36,8.8
3.36,8.72
3.36,8.64
3.36,8.56
3.36,8.48
3.2800000000000002,8.4
3.2800000000000002,8.32
3.2800000000000002,8.24
3.2800000000000002,8.16
3.2800000000000002,8.08
3.2800000000000002,8.0
3.2800000000000002,7.92
3.2,7.84
3.2,7.76
3.2,7.68
3.2,7.6000000000000005
3.2,7.5200000000000005
3.2,7.44
3.12,7.36
3.12,7.28
3.12,7.2
3.12,7.12
3.12,7.04
3.12,6.96
3.12,6.88
3.04,6.8
3.04,6.72
3.04,6.640000000000001
3.04,6.5600000000000005
3.04,6.48
3.04,6.4
2.96,6.32
2.96,6.24
2.96,6.16
2.96,6.08
2.96,6.0
2.96,5.92
2.88,5.84
2.88,5.76
2.88,5.68
2.88,5.6000000000000005
2.88,5.5200000000000005
2.88,5.44
2.8000000000000003,5.36
2.8000000000000003,5.28
2.8000000000000003,5.2
2.8000000000000003,5.12
2.72,5.04
2.72,4.96
2.72,4.88
2.64,4.8
2.64,4.72
2.64,4.64
2.64,4.5600000000000005
2.56,4.48
2.56,4.4
2.56,4.32
2.56,4.24
2.48,4.16
2.48,4.08
2.48,4.0
2.4,3.92
2.4,3.84
2.4,3.7600000000000002
2.4,3.68
2.32,3.6
2.32,3.52
2.32,3.44
2.24,3.36
2.24,3.2800000000000002
2.24,3.2
2.16,3.12
2.16,3.04
2.16,2.96
2.16,2.88
2.08,2.8000000000000003
2.08,2.72
2.08,2.64
2.0,2.56
2.0,2.48
2.0,2.4
2.0,2.32
1.92,2.24
1.92,2.16
1.92,2.08
1.84,2.0
1.84,1.92
1.84,1.84
1.84,1.76
1.76,1.68
1.76,1.6
1.76,1.52
1.76,1.44
1.68,1.36
1.68,1.28
1.68,1.2
1.6,1.12
1.6,1.04
1.6,0.96
1.52,0.88
1.52,0.8
1.52,0.72
1.52,0.64
1.52,0.56
1.44,0.48
1.36,0.48
1.28,0.4
1.2,0.4
57.120000000000005,64.72
57.2,64.72
57.28,64.72
57.36,64.64
57.44,64.64
57.52,64.56
57.6,64.56
57.68,64.56
57.76,64.48
57.84,64.48
57.92,64.4
58.0,64.4
58.08,64.4
58.160000000000004,64.32000000000001
58.24,64.32000000000001
58.32,64.24
58.4,64.24
58.480000000000004,64.24
58.56,64.16
58.64,64.16
58.72,64.08
58.800000000000004,64.0
58.88,63.92
58.96,63.84
59.04,63.76
59.04,63.68
59.120000000000005,63.6
59.2,63.52
59.2,63.440000000000005
59.2,63.36
59.28,63.28
59.28,63.2
59.28,63.120000000000005
59.36,63.04
59.36,62.96
59.36,62.88
59.36,62.800000000000004
59.44,62.72
59.44,62.64
59.44,62.56
59.44,62.480000000000004
59.52,62.4
59.52,62.32
59.52,62.24
59.6,62.160000000000004
59.6,62.08
59.6,62.0
59.6,61.92
59.68,61.92
59.76,61.84
59.84,61.84
59.92,61.76
60.0,61.76
60.08,61.76
60.160000000000004,61.68
60.24,61.68
60.32,61.6
60.4,61.6
60.480000000000004,61.6
60.56,61.6
60.64,61.6
60.72,61.52
60.800000000000004,61.52
60.88,61.52
60.96,61.52
61.04,61.44
61.120000000000005,61.44
61.2,61.36
61.28,61.36
61.36,61.28
61.44,61.28
61.52,61.2
61.6,61.2
61.68,61.120000000000005
61.76,61.120000000000005
61.84,61.04
61.92,60.96
62.0,60.96
62.08,60.88
62.160000000000004,60.88
62.24,60.800000000000004
62.32,60.800000000000004
62.4,60.72
62.480000000000004,60.72
62.56,60.64
62.64,60.64
62.72,60.56
62.800000000000004,60.56
62.88,60.480000000000004
62.96,60.480000000000004
63.04,60.4
63.120000000000005,60.4
63.2,60.32
63.28,60.32
63.36,60.24
63.440000000000005,60.24
63.52,60.160000000000004
63.6,60.160000000000004
63.68,60.08
63.76,60.08
63.84,60.0
63.92,59.92
64.0,59.92
64.08,59.84
64.16,59.84
64.24,59.76
64.32000000000001,59.76
64.4,59.68
64.48,59.68
64.56,59.6
64.64,59.6
64.72,59.52
64.8,59.52
64.88,59.44
64.96000000000001,59.44
65.04,59.36
65.12,59.36
65.2,59.28
65.28,59.2
65.36,59.2
65.44,59.120000000000005
65.52,59.120000000000005
65.6,59.04
65.68,59.04
65.76,58.96
65.84,58.96
65.92,58.88
66.0,58.88
66.08,58.800000000000004
66.16,58.800000000000004
66.24,58.72
66.32000000000001,58.72
66.4,58.64
66.48,58.64
66.56,58.56
66.64,58.480000000000004
66.72,58.480000000000004
66.8,58.4
66.88,58.4
66.96000000000001,58.32
67.04,58.32
67.12,58.24
67.2,58.24
67.28,58.160000000000004
67.36,58.160000000000004
67.44,58.08
67.52,58.08
67.6,58.0
67.68,58.0
67.76,57.92
67.84,57.92
67.92,57.84
68.0,57.76
68.08,57.76
68.16,57.68
68.24,57.6
68.32000000000001,57.6
68.4,57.52
68.48,57.44
68.56,57.36
68.64,57.28
68.72,57.2
68.8,57.120000000000005
68.88,57.04
68.96000000000001,56.96
69.04,56.88
69.12,56.800000000000004
69.2,56.72
69.28,56.64
69.36,56.56
69.44,56.480000000000004
69.44,56.4
69.52,56.32
69.60000000000001,56.24
69.68,56.160000000000004
69.76,56.08
69.84,56.0
69.92,55.92
70.0,55.84
70.08,55.76
70.16,55.68
70.24,55.6
70.32000000000001,55.52
70.4,55.44
70.48,55.36
70.56,55.28
70.64,55.2
70.72,55.120000000000005
70.8,55.04
70.8,54.96
70.88,54.88
70.96000000000001,54.800000000000004
71.04,54.72
71.12,54.64
71.2,54.56
71.28,54.480000000000004
71.28,54.4
71.36,54.32
71.36,54.24
71.36,54.160000000000004
71.44,54.08
71.52,54.0
71.52,53.92
71.52,53.84
71.60000000000001,53.76
71.60000000000001,53.68
71.60000000000001,53.6
71.68,53.52
71.68,53.44
71.68,53.36
71.76,53.28
71.76,53.2
71.76,53.120000000000005
71.76,53.04
71.84,52.96
71.84,52.88
71.84,52.800000000000004
71.92,52.72
71.92,52.64
71.92,52.56
72.0,52.480000000000004
72.0,52.4
72.0,52.32
72.08,52.24
72.08,52.160000000000004
72.08,52.08
72.16,52.0
72.16,51.92
72.16,51.84
72.16,51.76
72.24,51.68
72.24,51.6
72.24,51.52
72.32000000000001,51.44
72.32000000000001,51.36
72.32000000000001,51.28
72.4,51.2
72.4,51.120000000000005
72.4,51.04
72.48,50.96
72.48,50.88
72.48,50.800000000000004
72.48,50.72
72.56,50.64
72.56,50.56
72.56,50.480000000000004
72.64,50.4
72.64,50.32
72.64,50.24
72.72,50.160000000000004
72.72,50.08
72.72,50.0
72.8,49.92
72.8,49.84
72.8,49.76
72.8,49.68
72.88,49.6
72.88,49.52
72.88,49.44
72.96000000000001,49.36
72.96000000000001,49.28
72.96000000000001,49.2
73.04,49.120000000000005
73.04,49.04
73.04,48.96
73.04,48.88
73.12,48.800000000000004
73.12,48.72
73.12,48.64
73.2,48.56
73.2,48.480000000000004
73.2,48.4
73.28,48.32
73.28,48.24
73.28,48.160000000000004
73.36,48.08
73.36,48.0
73.36,47.92
73.44,47.84
73.44,47.76
73.44,47.68
73.52,47.6
73.52,47.52
73.52,47.44
73.60000000000001,47.36
73.60000000000001,47.28
73.60000000000001,47.2
73.60000000000001,47.12
73.68,47.04
73.68,46.96
73.68,46.88
73.76,46.800000000000004
73.76,46.72
73.76,46.64
73.76,46.56
73.84,46.480000000000004
73.84,46.4
73.84,46.32
73.92,46.24
73.92,46.160000000000004
73.92,46.08
74.0,46.0
74.0,45.92
74.0,45.84
74.08,45.76
74.08,45.68
74.08,45.6
74.08,45.52
74.16,45.44
74.16,45.36
74.16,45.28
74.24,45.2
74.24,45.12
74.24,45.04
74.32000000000001,44.96
74.32000000000001,44.88
74.32000000000001,44.800000000000004
74.4,44.72
74.4,44.64
74.4,44.56
74.4,44.480000000000004
74.48,44.4
74.48,44.32
74.48,44.24
74.56,44.160000000000004
74.56,44.08
74.56,44.0
74.64,43.92
74.64,43.84
74.64,43.76
74.72,43.68
74.72,43.6
74.72,43.52
74.72,43.44
74.8,43.36
74.8,43.28
74.8,43.2
74.88,43.12
74.88,43.04
74.88,42.96
74.96000000000001,42.88
74.96000000000001,42.800000000000004
74.96000000000001,42.72
75.04,42.64
75.04,42.56
75.04,42.480000000000004
75.04,42.4
75.12,42.32
75.12,42.24
75.12,42.160000000000004
75.2,42.08
75.2,42.0
75.2,41.92
75.28,41.84
75.28,41.76
75.28,41.68
75.36,41.6
75.36,41.52
75.36,41.44
75.44,41.36
75.44,41.28
75.44,41.2
75.44,41.12
75.52,41.04
75.52,40.96
75.52,40.88
75.60000000000001,40.800000000000004
75.60000000000001,40.72
75.60000000000001,40.64
75.60000000000001,40.56
75.68,40.480000000000004
75.68,40.4
75.68,40.32
75.76,40.24
75.76,40.160000000000004
75.76,40.08
75.84,40.0
75.84,39.92
75.84,39.84
75.92,39.76
75.92,39.68
75.92,39.6
76.0,39.52
76.0,39.44
76.0,39.36
76.0,39.28
76.08,39.2
76.08,39.12
76.08,39.04
76.16,38.96
76.16,38.88
76.16,38.800000000000004
76.24,38.72
76.24,38.64
76.24,38.56
76.24,38.480000000000004
76.32000000000001,38.4
76.32000000000001,38.32
76.32000000000001,38.24
76.4,38.160000000000004
76.4,38.08
76.4,38.0
76.48,37.92
76.48,37.84
76.48,37.76
76.56,37.68
76.56,37.6
76.56,37.52
76.56,37.44
76.56,37.36
76.56,37.28
76.64,37.2
76.64,37.12
76.64,37.04
76.64,36.96
76.64,36.88
76.64,36.800000000000004
76.72,36.72
76.72,36.64
76.72,36.56
76.72,36.480000000000004
76.72,36.4
76.72,36.32
76.72,36.24
76.72,36.160000000000004
76.72,36.08
76.72,36.0
76.72,35.92
76.72,35.84
76.72,35.76
76.8,35.68
76.8,35.6
76.8,35.52
76.8,35.44
76.8,35.36
76.8,35.28
76.8,35.2
76.8,35.12
76.8,35.04
76.8,34.96
76.8,34.88
76.8,34.800000000000004
76.8,34.72
76.88,34.64
76.88,34.56
76.88,34.480000000000004
76.88,34.4
76.88,34.32
76.88,34.24
76.88,34.160000000000004
76.88,34.08
76.88,34.0
76.88,33.92
76.88,33.84
76.96000000000001,33.76
76.96000000000001,33.68
76.96000000000001,33.6
76.96000000000001,33.52
76.96000000000001,33.44
76.96000000000001,33.36
76.96000000000001,33.28
76.96000000000001,33.2
76.96000000000001,33.12
76.96000000000001,33.04
76.96000000000001,32.96
76.96000000000001,32.88
76.96000000000001,32.8
77.04,32.72
77.04,32.64
77.04,32.56
77.04,32.480000000000004
77.04,32.4
77.04,32.32
77.04,32.24
77.04,32.160000000000004
77.04,32.08
77.04,32.0
77.04,31.92
77.04,31.84
77.12,31.76
77.12,31.68
77.12,31.6
77.12,31.52
77.12,31.44
77.12,31.36
